"id","name","score","comment"
"B074RDWF63","Unlocked Cell Phones, DOOGEE X20 GSM Smartphone Unlocked Android 7.0 - 5.0"" HD IPS Display - 1GB RAM+16GB ROM - 5MP Dual Cameras - Unlocked Phones - Gold","5.0","I like the battery "
"B074RDWF63","Unlocked Cell Phones, DOOGEE X20 GSM Smartphone Unlocked Android 7.0 - 5.0"" HD IPS Display - 1GB RAM+16GB ROM - 5MP Dual Cameras - Unlocked Phones - Gold","5.0","Great phone for this price  large display  good battery  Android 7 OS"
"B074RDWF63","Unlocked Cell Phones, DOOGEE X20 GSM Smartphone Unlocked Android 7.0 - 5.0"" HD IPS Display - 1GB RAM+16GB ROM - 5MP Dual Cameras - Unlocked Phones - Gold","1.0","Phone can't be used if you have a Verizon plan."
"B074RDWF63","Unlocked Cell Phones, DOOGEE X20 GSM Smartphone Unlocked Android 7.0 - 5.0"" HD IPS Display - 1GB RAM+16GB ROM - 5MP Dual Cameras - Unlocked Phones - Gold","5.0","Five stars be given for this nice quality with cheaper price unlocked cell phone. Let's look over how is this phone's advantages and disadvantages.  Nice box case with this phone. Price is not expensive. This phone also come with a clear phone case. For using it first day  need charged by the way. First need to open back cover  remove the insulating tape from the battery. But can't not find the way to open cover  take a time to look around the phone for a while. Then find out the bottom of phone have little grove  then the phones' cover be open. This part it didn't writing in the manual. If future can get more information from the manual be better save time. Not need to pondering. Back from this phone  the touch screen very sensitive. It can be install two SIM cards as you can see from the picture. The camera function is not bad  definition is enough. It can installing by many languages before using. I try it to call  can easy and clear to hear from other sides. The Vedio screen is also clear. It is a android system for this phone. And it better to get same branch battery  to place up if need. So I need to find extra battery to spare. Overall this phone is great  it will be a wonderful Christmas gift for my grand mom."
"B0736RZ1K5","DOOGEE X10, Unlocked Cell Phones - Dual Sim Smartphone With 5.0"" IPS Display - Android 6.0 - 8GB ROM - 2MP+5MP Dual Camera - 3360mAh Battery - GSM Unlocked Phone International - Silver(no ads)","1.0","So far  so good. Cell phone covers for this is difficult to fine. Did find one but twice the cost as others. Will update as its used. 12/20/17 Phone did not last. Re-set itself with Chinese writing needless to say  I do not understand. I do not recommend  nor would I buy again. I took a chance."
"B0736RZ1K5","DOOGEE X10, Unlocked Cell Phones - Dual Sim Smartphone With 5.0"" IPS Display - Android 6.0 - 8GB ROM - 2MP+5MP Dual Camera - 3360mAh Battery - GSM Unlocked Phone International - Silver(no ads)","4.0","Basic phone nothing special but slow running and set up"
"B0736RZ1K5","DOOGEE X10, Unlocked Cell Phones - Dual Sim Smartphone With 5.0"" IPS Display - Android 6.0 - 8GB ROM - 2MP+5MP Dual Camera - 3360mAh Battery - GSM Unlocked Phone International - Silver(no ads)","5.0","The phone is nice the camera do take ok pictures. Its perfect for a young person to use but will download a little slower than other phones. For that price it well worth giving it a try"
"B0736RZ1K5","DOOGEE X10, Unlocked Cell Phones - Dual Sim Smartphone With 5.0"" IPS Display - Android 6.0 - 8GB ROM - 2MP+5MP Dual Camera - 3360mAh Battery - GSM Unlocked Phone International - Silver(no ads)","1.0","I pay for I got. it works for 3 months  then it frozen for ever. I wasn't able to use it in Colombia"
"B0736RZ1K5","DOOGEE X10, Unlocked Cell Phones - Dual Sim Smartphone With 5.0"" IPS Display - Android 6.0 - 8GB ROM - 2MP+5MP Dual Camera - 3360mAh Battery - GSM Unlocked Phone International - Silver(no ads)","5.0","Great phone for the price we own two and have had no problems the hardest part of phone set up is getting the right settings for data use other than that great phone"
"B0736RZ1K5","DOOGEE X10, Unlocked Cell Phones - Dual Sim Smartphone With 5.0"" IPS Display - Android 6.0 - 8GB ROM - 2MP+5MP Dual Camera - 3360mAh Battery - GSM Unlocked Phone International - Silver(no ads)","4.0","Great phone for traveling outside of the country camera was actually better-than-expected."
"B01EYT1URO","BLU Studio X8 HD - 5.0"" GSM Unlocked Smartphone -Black","5.0","The best cell phone I've had for a very low price. I love it works very well  I live in Venezuela and has excellent signal  use it with any carrier  good memory capacity. I recommend it for Latin America"
"B01EYT1URO","BLU Studio X8 HD - 5.0"" GSM Unlocked Smartphone -Black","4.0","I bought these phone for my 9-year-old daughter.  She loves this phone.  The only issue I had was the set-up.  I wanted to use tracfone and it was a little frustrating that thracfobe was unable to help me get this phone working.  I called Blu and let me kno with this phone I had to use the T-Mobile SIM card because of this phone being 2G.  After fixing that problem.  It has been working awesome!!!!  No complaints from my daughter so I am a happy camper!!!"
"B01EYT1URO","BLU Studio X8 HD - 5.0"" GSM Unlocked Smartphone -Black","5.0","Working well  very good for the price  I recommend it to be giving as a gift as it is very good for the value."
"B01EYT1URO","BLU Studio X8 HD - 5.0"" GSM Unlocked Smartphone -Black","5.0","thanks for wonderful product and fast shipment"
"B01EYT1URO","BLU Studio X8 HD - 5.0"" GSM Unlocked Smartphone -Black","5.0","My mom love this phone"
"B01MXLZIDS","LeEco | Le S3 Unlocked Dual-SIM Smartphone; 5.5"" Display, 16MP Camera, 4K Video, 32GB Storage, 3GB RAM - Gray (U.S. Warranty)","5.0","Great phone  even though I returned it. Bezel was actually pretty amazing and was pretty shocked by the price. I went with the Honor 6x instead but it had nothing to do with the phones  just the carriers."
"B01MXLZIDS","LeEco | Le S3 Unlocked Dual-SIM Smartphone; 5.5"" Display, 16MP Camera, 4K Video, 32GB Storage, 3GB RAM - Gray (U.S. Warranty)","2.0","Have this phone for a little over a month and still have no idea how to get into live or LeEco account on this phone.  However   this is a great phone for the price and I believe this company has some promising future   but should come with reliable features."
"B01MXLZIDS","LeEco | Le S3 Unlocked Dual-SIM Smartphone; 5.5"" Display, 16MP Camera, 4K Video, 32GB Storage, 3GB RAM - Gray (U.S. Warranty)","2.0","Phone looks great  and is fast. Came completely dead out of the box  but charged fast with the quick charger. Reading other reviews  I thought this was going to be a great phone for the price. But right away  the phone couldn't connect to the internet. Im using a cricket sim  which is supposedly supported  and the phone reads that it is a cricket sim  but it doesn't want to connect to the internet."
"B01MXLZIDS","LeEco | Le S3 Unlocked Dual-SIM Smartphone; 5.5"" Display, 16MP Camera, 4K Video, 32GB Storage, 3GB RAM - Gray (U.S. Warranty)","5.0","Love this phone and i came out a lot cheaper than going though att when it was time to upgrade.  if you looking for something to use everyday or just as a spare incase you break your other phone this will get the job done"
"B01MXLZIDS","LeEco | Le S3 Unlocked Dual-SIM Smartphone; 5.5"" Display, 16MP Camera, 4K Video, 32GB Storage, 3GB RAM - Gray (U.S. Warranty)","5.0","so far so good. excellent quality camera."
"B01MXLZIDS","LeEco | Le S3 Unlocked Dual-SIM Smartphone; 5.5"" Display, 16MP Camera, 4K Video, 32GB Storage, 3GB RAM - Gray (U.S. Warranty)","5.0","pretty ok mobile phone!"
"B0758RX3MG","Samsung Galaxy G550T On5 GSM (T-Mobile) Unlocked Smartphone - Black - (Certified Refurbished)","4.0","Wish I'd started @ T-Mobile with an On5 instead of $579 installment plan for S7. This has better fringe signal acquisition strength & comparable performance overall. S7 does have a better camera & newer android version  but not $429 worth."
"B0758RX3MG","Samsung Galaxy G550T On5 GSM (T-Mobile) Unlocked Smartphone - Black - (Certified Refurbished)","5.0","Great phone we bought this phone for my grandson he loves it says refurbished but we can't tell looks and performs brand new"
"B0758RX3MG","Samsung Galaxy G550T On5 GSM (T-Mobile) Unlocked Smartphone - Black - (Certified Refurbished)","5.0","brought this phone for my son.the screan was big perfecr for warinching v he totally loved it.and chubbiestech shipped it right away ."
"B0758RX3MG","Samsung Galaxy G550T On5 GSM (T-Mobile) Unlocked Smartphone - Black - (Certified Refurbished)","1.0","Very poor quality Camera and immediate spamming on the phone. Then to add insult to injury they want me to pay to return it."
"B0758RX3MG","Samsung Galaxy G550T On5 GSM (T-Mobile) Unlocked Smartphone - Black - (Certified Refurbished)","5.0","Phone works great. Great iPhone alternative."
"B0758RX3MG","Samsung Galaxy G550T On5 GSM (T-Mobile) Unlocked Smartphone - Black - (Certified Refurbished)","5.0","This was the best cell phone purchase I have ever made. So long to spending hundreds of unnecessary dollars because this phone has everything I want and more!!  I transferred my line effortlessly from Verizon to Cricket online without issues or hassle. Excellent experience  Thank You!!"
"B01M24QYPN","Alcatel Ideal 4G LTE Unlocked 4060A Android 5mp 8GB Quad Core Desbloqueado","5.0","As a backup phone  and one for overseas travel with pay-as-you-go SIM cards  this is a great phone. Granted it doesn't have the most memory or the best camera  but it is perfectly functional. Plus it could be a good phone for a kid before entering the realm of $1000 smart phones!"
"B01M24QYPN","Alcatel Ideal 4G LTE Unlocked 4060A Android 5mp 8GB Quad Core Desbloqueado","4.0","so far the phone is holding up pretty well.  I hope it last me long time.  The pic quality is good enough."
"B01M24QYPN","Alcatel Ideal 4G LTE Unlocked 4060A Android 5mp 8GB Quad Core Desbloqueado","5.0","All is very good  it is fast phone  only problem is with the camera."
"B01M24QYPN","Alcatel Ideal 4G LTE Unlocked 4060A Android 5mp 8GB Quad Core Desbloqueado","5.0","Comes pre-loaded with AT&T; apps  otherwise great burner phone."
"B01M24QYPN","Alcatel Ideal 4G LTE Unlocked 4060A Android 5mp 8GB Quad Core Desbloqueado","1.0","I received the phone.  phone is wonderful but there's no battery in the phone. So buying the phone wasn't successful. Battery is missing So no use of using the phone."
"B01M24QYPN","Alcatel Ideal 4G LTE Unlocked 4060A Android 5mp 8GB Quad Core Desbloqueado","5.0","Excellent"
"B00W94246I","ASUS ZenFone 2 ZE551ML 4GB RAM / 64GB ROM 5.5-Inch 2G / 4G Dual SIM Factory Unlocked International Stock No Warranty (Gray/Silver)","1.0","this phone comes with the bad screen and does not read the sim card  the problem is manufacturing  I lost my money buying this  I do not recommend it  it is a deception"
"B00W94246I","ASUS ZenFone 2 ZE551ML 4GB RAM / 64GB ROM 5.5-Inch 2G / 4G Dual SIM Factory Unlocked International Stock No Warranty (Gray/Silver)","2.0","The inbuilt speaker (front) not working  necessary to use hands-free for calls listen."
