name,price,type,size,front,floor,state
【我爱我家 全优房源】星岛嘉园 精装三居 可居家可合租 ****就是干净,7300,3室2厅2卫,161,南北向,6,无电梯
临近 清华 北大 9号楼 华清嘉园 精装两居室 业主精心布置,8000,2室1厅1卫,76,东南向,20,有电梯
【我爱我家 全优房源】学院路，矿业大学附中，精装2居室，带客厅，业主价格可谈，急租,6400,2室1厅1卫,66,南北向,6,无电梯
【我爱我家 全优房源】丰益桥 丰益花园温馨大三居 ，紧邻10线泥洼站，周边配套齐全,7500,3室1厅1卫,120,南北向,12,有电梯
【我爱我家 全优房源】文成杰座精装三居室 真是房源 清华大学 基金委 林业大学,12000,3室1厅1卫,134,南北向,15,精装修
【我爱我家 全优房源】酒仙桥丽都壹号两居蒋府家园高端社区 精装修8800零押金月付,8800,2室1厅1卫,86,南北向,21,有电梯
顺义 怡馨家园 一中 地铁站 精装一居 城区生活圈,3500,1室1厅1卫,43,南向,18,有电梯
0押金 可月付东一区精装两居 带电梯 采光好 看房方便,5200,2室1厅1卫,101,南北向,16,有电梯
【我爱我家 全优房源】工体东路两居农丰里关东店北街蓝岛春平陈经纶侨福芳草地随时看房,6300,2室1厅1卫,60,东南向,6,无电梯
太平路新房源 两居室全新精装修 南北通透 附近上学优先考虑,4500,2室1厅1卫,58,南北向,6,无电梯
【我爱我家 全优房源】北郊农场宿舍二室一厅一卫,5000,2室1厅1卫,79,南北向,6,简单装修
金盏嘉园 精装一居配置全齐 紧邻 望京 大山子 798 孙河,4000,1室1厅1卫,60,南北向,11,有电梯
【我爱我家 全优房源】只需2800整租土桥地铁旁高楼金一居室，多套房源可供选择,2800,1室1厅1卫,40,北向,20,有电梯
【我爱我家 全优房源】地铁安贞门站十号线 元大都公园 胜古北里 精装一居室,4800,1室1厅1卫,46,南向,6,有电梯
【我爱我家 全优房源】五道口，西王庄，精装2居室，业主长租，价格可谈，随时可住，急,7500,2室1厅1卫,63,南北向,6,无电梯
为你而选 简装空房 整体橱柜 有钥匙 随时看房,4000,1室1厅1卫,59,南北向,6,简单装修
【我爱我家 全优房源】拎包入住6000整租临河里三室两厅两卫带车位，拎包入住,6000,3室2厅2卫,120,南北向,19,有电梯
顺义城区中建国际城 好房出租 拎包入住,4500,3室1厅1卫,100,南北向,9,有电梯
铁匠营新村 新上3居室 家具家电齐全 随时入住 看房有钥匙,3800,3室2厅1卫,110,南北向,4,无电梯
【我爱我家 全优房源】常营站对面富力阳光三家合租 全南向主次卧任君挑选 出行方便！,2300,3室1厅1卫,12,南向,28,精装修
航天城 小牛坊 大牛坊 航天城精装一居室出租家具家电齐全急租,3500,1室1厅1卫,62,南北向,15,有电梯
309医院，国防大学，澄秀园小区，2居室出租,4800,2室1厅1卫,60,南北向,6,无电梯
清华南门 文津国际公寓 一居室 百分之80办公 办公美容美体,9000,1室1厅1卫,92,南向,19,有电梯
武警交通总队家属院 2室 94平带地下车位一个出租 5000,5000,2室1厅1卫,94,南北向,11,有电梯
北京方糖精装1居LOFT 生活出行便利 有钥匙 看房方便,4500,1室1厅1卫,53,东向,9,精装修
【我爱我家 全优房源】常营草房 ***豪装大开间 业主直租 想租一个单身女孩,4500,1室1厅1卫,50,南向,23,精装修
蛋壳公寓 押一付一 地铁10、14号线 绿化面积广 花园风,2690,3室1厅1卫,18,东南向,28,精装修
为你而选 柏林爱乐小两居室 看房方便 家具家电齐全,5500,1室1厅1卫,67,东向,11,简单装修
为你而选 柏林爱乐二期 2室1厅 97平,5500,2室1厅1卫,97,西南向,21,精装修
为你而选 长楹天街 4室2厅 188平,20000,4室2厅3卫,188,南北向,18,精装修
临近 北大 清华 唐宁one 开间南向 53平米 高层采光好,7500,1室1厅1卫,53,南向,33,有电梯
【我爱我家 全优房源】清河 上地 安宁庄 阳光北里 精装两居 可合租 家具家电齐全,5220,2室1厅1卫,80,南向,18,有电梯
【我爱我家 全优房源】巴克寓所 果园城铁附近 精装修一居 少有户型带大露台 拎包住,3300,1室1厅1卫,45,南向,12,精装修
【我爱我家 全优房源】看丹桥 9号线丰台南路 新华街 设计师广场 月付房租随时看房,3500,1室1厅1卫,38,南北向,29,有电梯
【我爱我家 全优房源】苏州桥 小南庄 一居室,5000,1室1厅1卫,45,南向,16,精装修
东王庄 语言大学 地质大学 三居室1层 真实照片 有钥匙看房,9000,3室1厅1卫,97,南北向,6,有电梯
【我爱我家 全优房源】中关村一小旁新科祥园一居室 超动向 高楼层 无遮挡 长期出租,9000,1室1厅1卫,64,东向,21,有电梯
和平里 地坛东门 和平里五区 精装南北两居主卧出租 可月付,5600,2室1厅1卫,68,南北向,6,精装修
西辛北区，精装，二居室，家具电器，电梯房,4000,2室1厅1卫,70,南北向,16,有电梯
【我爱我家 全优房源】管庄地铁站远洋一方花语园一室一厅出租，可看房,3600,1室1厅1卫,50,南向,6,豪华装修
恒泰中心斜对面，西局地铁站旁，鼎恒中心商务楼,8500,2室1厅1卫,130,东南向,27,有电梯
金色时光当代北辰MOMA VILLAGE 2室 4500元,4500,2室1厅1卫,70,南向,9,有电梯
首都机场南路西里两居室南北通透随时看房,3800,2室1厅1卫,56,南北向,5,有电梯
木樨园 百荣旁 西木樨园 精装一居室 家具家电齐全 可月付,3800,1室1厅1卫,50,南向,6,无电梯
石门地铁 西辛南区 合租 拎包入住 找一女孩或者男孩急租！,1000,2室1厅1卫,20,南北向,18,有电梯
颐阳山水居西区旁蓝山公馆豪华装修大三居 拎包入住 南北通透,5000,3室1厅2卫,150,南北向,4,无电梯
万科长阳天地，豪装复式，家具家电齐全，东南采光，看房方便.,3500,2室2厅2卫,62,东南向,9,有电梯
【我爱我家 全优房源】九棵树，罗斯福对面！k2玉兰湾精装两居室，业主***,5500,2室1厅1卫,90,南北向,30,有电梯
【我爱我家 全优房源】胜古北里出租婚房一居室 地铁10号线、5号线 我有钥匙 月付,5500,1室1厅1卫,41,南向,6,无电梯
上地 马连洼 软件园 东旭园 南北通透 精装86平两居室 准,5500,2室2厅1卫,86,南北向,6,无电梯
【我爱我家 全优房源】五道口嘉园，精装大2居室，价格可以谈，业主长租，看房方便,11000,2室1厅1卫,92,南北向,27,有电梯
四中附近低楼层 精装家电齐全出租,3000,2室2厅1卫,95,东西向,6,精装修
为你而选 绿波漫板 3室2厅 156平,15000,3室2厅2卫,156,南北向,7,精装修
